head,pct_retained,sens_p0.1,spec_p0.1,sens_p0.2,spec_p0.2,sens_p0.5,spec_p0.5
l0_h0,0.1114,0.8052064631956912,0.5515417510690974,0.11714542190305206,0.9652824668017106,0.0,1.0
l0_h1,0.0009,0.0,1.0,0.0,1.0,0.0,1.0
l0_h2,0.0567,0.12874779541446207,0.9099438142690555,0.0,0.9998939891868971,0.0,1.0
l0_h3,0.0737,0.4728629579375848,0.8625715211054734,0.0006784260515603799,0.9994062398790888,0.0,1.0
l0_h4,0.0575,0.23391304347826086,0.8562334217506631,0.0,0.9989389920424403,0.0,1.0
l0_h5,0.0668,0.8854790419161677,0.7753964852121732,0.45434131736526945,0.9409558508358337,0.0037425149700598802,1.0
l0_h6,0.06465,0.5668986852281516,0.7750574651200085,0.0007733952049497294,0.9987705137114449,0.0,1.0
l0_h7,0.091,0.8324175824175825,0.7264576457645765,0.46923076923076923,0.8937843784378438,0.0,1.0
l10_h0,0.01915,0.7101827676240209,0.963144211653158,0.5091383812010444,0.9822602844471632,0.13838120104438642,0.9976041188764847
l10_h1,0.0421,0.6543942992874109,0.884278108362042,0.3159144893111639,0.969307860945819,0.0059382422802850355,0.9996346173922122
l10_h2,0.0561,0.6889483065953654,0.8732916622523572,0.45811051693404636,0.9466574849030618,0.11229946524064172,0.9946498569763746
l10_h3,0.0606,0.7912541254125413,0.880189482648499,0.5495049504950495,0.9482648499041941,0.17244224422442245,0.9905790930381094
l10_h4,0.0063,0.29365079365079366,0.9985911240817148,0.29365079365079366,0.9986414410787964,0.29365079365079366,0.9986414410787964
l10_h5,0.1142,0.8296847635726795,0.690505757507338,0.5888791593695272,0.86069090088056,0.08231173380035026,0.9910815082411379
l10_h6,0.0178,0.41853932584269665,0.9764304622276522,0.15168539325842698,0.996436570963144,0.0,1.0
l10_h7,0.01,0.355,0.9920707070707071,0.225,0.9978282828282828,0.0,1.0
l11_h0,0.11115,0.8218623481781376,0.6926928053102324,0.5641025641025641,0.8650503459526354,0.058029689608636977,0.993418462057715
l11_h1,0.1578,0.9255386565272496,0.2530871526953218,0.4835234474017744,0.7637140821657563,0.005703422053231939,0.9991094751840418
l11_h2,0.132,0.8602272727272727,0.6428571428571429,0.6590909090909091,0.8173387096774194,0.13484848484848486,0.9835829493087558
